STATE:1001600001:20000|20000:100|50:r300r900c/r1800f:TcKd|Ts9h/6cJc2h:900|-900:DeepStack|Nate_@NateMeyvis 
STATE:1001600046:12950|27050:400|200:r800c/cc/r1600f:7sAc|Kd3c/8h4h7c/2d:800|-800:Nate_@NateMeyvis|DeepStack 
STATE:1001600047:26250|13750:400|200:r1000c/cr2000c/cr4750f:KdTd|9sKs/3c2d2s/Js:-2000|2000:DeepStack|Nate_@NateMeyvis 
STATE:1001600048:15750|24250:400|200:r800f:7c3h|Ad2h:-400|400:Nate_@NateMeyvis|DeepStack 
STATE:1001600049:24650|15350:400|200:cr1200f:JcKd|9s3s:400|-400:DeepStack|Nate_@NateMeyvis 
STATE:1001600050:14950|25050:400|200:f:3hKd|3c9h:200|-200:Nate_@NateMeyvis|DeepStack 
STATE:1001600051:24850|15150:600|300:r1200f:3d7s|AcKh:-600|600:DeepStack|Nate_@NateMeyvis 
STATE:1001600052:15750|24250:600|300:cc/cr1200r2500f:6hQh|TdJs/7hQd2h:1200|-1200:Nate_@NateMeyvis|DeepStack 
STATE:1001600053:23050|16950:600|300:cc/cr1200r2400f:5h2c|3h7d/Jc2s4s:1200|-1200:DeepStack|Nate_@NateMeyvis 
STATE:1001600054:15750|24250:600|300:r1200c/cr2400c/cr4800c/cc:5sKs|9c8d/Jc4sKd/Qs/Jd:4800|-4800:Nate_@NateMeyvis|DeepStack 
STATE:1001600055:19450|20550:600|300:f:Ah2c|2h9c:300|-300:DeepStack|Nate_@NateMeyvis 
STATE:1001600056:20250|19750:600|300:r1200f:5d7h|4sQh:-600|600:Nate_@NateMeyvis|DeepStack 
STATE:1001600057:20350|19650:600|300:cc/cr1200c/cc/cr2400c:2sAd|2c8c/3dKcJh/Ks/Qh:2400|-2400:DeepStack|Nate_@NateMeyvis 
STATE:1001600058:17250|22750:600|300:cc/cc/cc/cr1800f:Tc6d|2sKc/JsKhJc/9s/7c:-600|600:Nate_@NateMeyvis|DeepStack 
STATE:1001600059:23350|16650:600|300:cr1800f:JsJh|8s5d:600|-600:DeepStack|Nate_@NateMeyvis 
STATE:1001600060:16050|23950:600|300:cc/cr1800f:6h3d|AhJs/4cAcJd:-600|600:Nate_@NateMeyvis|DeepStack 
STATE:1001600061:24550|15450:800|400:r1600c/cc/r3200c/cc:3h2h|KcKh/Ah7h5s/7c/9s:-3200|3200:DeepStack|Nate_@NateMeyvis 
STATE:1001600062:18650|21350:800|400:r1600f:6h2h|AhKc:-800|800:Nate_@NateMeyvis|DeepStack 
STATE:1001600063:22150|17850:800|400:r1600c/cc/cc/r4800f:ThQd|Kc3h/9h2cQc/Ad/4c:1600|-1600:DeepStack|Nate_@NateMeyvis 
STATE:1001600064:16250|23750:800|400:cc/cr1600f:3s7s|Qs7c/5hTc8h:-800|800:Nate_@NateMeyvis|DeepStack 
STATE:1001600065:24550|15450:800|400:r1600r15450f:Ac9s|4hKh:1600|-1600:DeepStack|Nate_@NateMeyvis 
STATE:1001600066:13850|26150:800|400:cc/cr1600f:5sQh|5cTs/AdTh7d:-800|800:Nate_@NateMeyvis|DeepStack 
STATE:1001600067:26950|13050:800|400:cc/cr1600c/r3200c/cc:Ah5h|5s9s/Qd4h5c/2c/Kc:3200|-3200:DeepStack|Nate_@NateMeyvis 
STATE:1001600068:9850|30150:800|400:f:Td5h|2s4d:400|-400:Nate_@NateMeyvis|DeepStack 
STATE:1001600069:29750|10250:800|400:r10250f:9s6s|Jh7s:-800|800:DeepStack|Nate_@NateMeyvis 
STATE:1001600070:11050|28950:800|400:cc/cr1600r11050f:3h6s|QcKd/2h5d5h:1600|-1600:Nate_@NateMeyvis|DeepStack 
STATE:1001600071:27350|12650:1000|500:cc/cr2000c/cc/cc:9sJh|Ts2s/QhAc7s/4h/5d:2000|-2000:DeepStack|Nate_@NateMeyvis 
STATE:1001600072:10650|29350:1000|500:f:Jc8d|7s3d:500|-500:Nate_@NateMeyvis|DeepStack 
STATE:1001600073:28850|11150:1000|500:cc/cr2000c/cr4000f:7hKh|Ts6s/3s6c4s/2s:-2000|2000:DeepStack|Nate_@NateMeyvis 
STATE:1001600074:13150|26850:1000|500:cc/cr2000f:3s4s|8h6s/8d7h6d:-1000|1000:Nate_@NateMeyvis|DeepStack 
STATE:1001600075:27850|12150:1000|500:r12150f:Js4c|Ks2d:-1000|1000:DeepStack|Nate_@NateMeyvis 
STATE:1001600076:13150|26850:1000|500:r13150f:5h2h|9sAc:-1000|1000:Nate_@NateMeyvis|DeepStack 
STATE:1001600077:27850|12150:1000|500:f:3s4s|6h3h:500|-500:DeepStack|Nate_@NateMeyvis 
STATE:1001600078:11650|28350:1000|500:cc/cc/r2300f:5d6h|Td3s/9h4c8c/8h:1000|-1000:Nate_@NateMeyvis|DeepStack 
STATE:1001600079:27350|12650:1000|500:f:6cJc|9s2h:500|-500:DeepStack|Nate_@NateMeyvis 
STATE:1001600080:12150|27850:1000|500:cc/cc/cr3000f:2h4h|7s4c/JhQs9c/Ad:-1000|1000:Nate_@NateMeyvis|DeepStack 
STATE:1001600081:28850|11150:1500|750:f:KcJh|3d2d:750|-750:DeepStack|Nate_@NateMeyvis 
STATE:1001600082:10400|29600:1500|750:r10400f:5hTc|Ah7s:-1500|1500:Nate_@NateMeyvis|DeepStack 
STATE:1001600083:31100|8900:1500|750:r8900f:6h8c|KcTs:-1500|1500:DeepStack|Nate_@NateMeyvis 
STATE:1001600084:10400|29600:1500|750:r3000r10400c///:TcQh|Js6s/4h6cJc/Jh/Ks:-10400|10400:Nate_@NateMeyvis|DeepStack 
