STATE:9000200001:20000|20000:100|50:f:Qs2d|3h5s:50|-50:DeepStack|Taylor_@TaylorvonK 
STATE:9000200024:31873|8127:200|100:cc/cc/cr400c/cc:7d7s|4h7c/5d5hJs/Kh/4d:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200025:7727|32273:200|100:r666f:8h2c|Td9h:-200|200:DeepStack|Taylor_@TaylorvonK 
STATE:9000200026:32473|7527:200|100:f:JhAh|3s7d:100|-100:Taylor_@TaylorvonK|DeepStack 
STATE:9000200027:7427|32573:200|100:r400c/cr1399f:5sAc|2d2c/8h9cKc:-400|400:DeepStack|Taylor_@TaylorvonK 
STATE:9000200028:32973|7027:200|100:r400r1999f:5cAh|7h5d:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200029:6627|33373:200|100:r400r6627f:AhQc|Kd5s:400|-400:DeepStack|Taylor_@TaylorvonK 
STATE:9000200030:32973|7027:200|100:r400f:3hJc|6h9s:-200|200:Taylor_@TaylorvonK|DeepStack 
STATE:9000200031:7227|32773:300|150:r600r7227f:Ac9h|7hQs:600|-600:DeepStack|Taylor_@TaylorvonK 
STATE:9000200032:32173|7827:300|150:r600f:6d9s|7dJh:-300|300:Taylor_@TaylorvonK|DeepStack 
STATE:9000200033:8127|31873:300|150:r600c/cr2044f:9h7s|Th7h/Jc8s3c:-600|600:DeepStack|Taylor_@TaylorvonK 
STATE:9000200034:32473|7527:300|150:r600f:6d2h|4sJs:-300|300:Taylor_@TaylorvonK|DeepStack 
STATE:9000200035:7827|32173:300|150:f:9s7s|7d2h:150|-150:DeepStack|Taylor_@TaylorvonK 
STATE:9000200036:32023|7977:300|150:f:Jh5h|2s6d:150|-150:Taylor_@TaylorvonK|DeepStack 
STATE:9000200037:7827|32173:300|150:f:Kh8h|5d2s:150|-150:DeepStack|Taylor_@TaylorvonK 
STATE:9000200038:32023|7977:300|150:cc/cc/r1744f:8sTc|9sAh/7sQh2s/Jd:300|-300:Taylor_@TaylorvonK|DeepStack 
STATE:9000200039:7677|32323:300|150:f:Qs4d|3d4c:150|-150:DeepStack|Taylor_@TaylorvonK 
STATE:9000200040:32173|7827:300|150:cc/cc/r600c/cc:4hQs|4d9h/Jh5cAc/4s/7c:600|-600:Taylor_@TaylorvonK|DeepStack 
STATE:9000200041:7227|32773:400|200:f:3cAd|4h2d:200|-200:DeepStack|Taylor_@TaylorvonK 
STATE:9000200042:32573|7427:400|200:cc/cc/r1066f:Jd9d|Qs9s/4d8s3d/2d:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200043:7027|32973:400|200:f:KsJs|3d8c:200|-200:DeepStack|Taylor_@TaylorvonK 
STATE:9000200044:32773|7227:400|200:cc/cr800f:7d2h|8h3s/4s8c9c:-400|400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200045:7627|32373:400|200:r800f:5h2d|Kd7h:-400|400:DeepStack|Taylor_@TaylorvonK 
STATE:9000200046:32773|7227:400|200:cr1999f:4d8h|Qh2d:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200047:6827|33173:400|200:r800r1600f:TsTh|3c5c:800|-800:DeepStack|Taylor_@TaylorvonK 
STATE:9000200048:32373|7627:400|200:f:9c9s|3h2c:200|-200:Taylor_@TaylorvonK|DeepStack 
STATE:9000200049:7427|32573:400|200:cc/r800r1634r3268c/cc/cr3934f:5c3c|AhAs/Kc2s2d/2c/6h:-3268|3268:DeepStack|Taylor_@TaylorvonK 
STATE:9000200050:35841|4159:400|200:cr35841f:As8d|9d6c:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200051:3759|36241:600|300:r36241c///:9sKh|AhJc/3dJh3s/3h/Qh:-3759|3759:DeepStack|Taylor_@TaylorvonK 
