STATE:4000200001:20000|20000:100|50:r300r900c/cc/cc/cr1900f:QdAd|8h6h/7c9sJc/6d/5c:-900|900:DeepStack|Terrence_@tchanpoker 
STATE:4000200021:29350|10650:200|100:r500r1500c/r3000r10650c//:5sAs|Kc8c/3c8h5c/Ah/Jc:-10650|10650:DeepStack|Terrence_@tchanpoker 
STATE:4000200022:21300|18700:200|100:r600c/cc/cc/r1200c:JsKd|Th7h/AdKcTs/2s/4h:1200|-1200:Terrence_@tchanpoker|DeepStack 
STATE:4000200023:17500|22500:200|100:r500r1000c/r2000f:8d8h|Qc7c/5c3sTh:1000|-1000:DeepStack|Terrence_@tchanpoker 
STATE:4000200024:21500|18500:200|100:cr600f:5d5h|2hKc:200|-200:Terrence_@tchanpoker|DeepStack 
STATE:4000200025:18300|21700:200|100:r500c/cc/cc/cr700f:Kd2d|Ah2c/Qc6s7c/9c/4c:-500|500:DeepStack|Terrence_@tchanpoker 
STATE:4000200026:22200|17800:200|100:r400c/cc/cr1200f:7dKh|ThQh/6dJhJd/Jc:-400|400:Terrence_@tchanpoker|DeepStack 
STATE:4000200027:18200|21800:200|100:r600c/cr1400f:Kd7h|Jh4d/AcTsTc:-600|600:DeepStack|Terrence_@tchanpoker 
STATE:4000200028:22400|17600:200|100:cc/cc/cc/cc:2cQs|5h9c/AdJd7s/2s/5s:-200|200:Terrence_@tchanpoker|DeepStack 
STATE:4000200029:17800|22200:200|100:r500c/cr1250f:Qs9c|4sQh/AsKs8d:-500|500:DeepStack|Terrence_@tchanpoker 
STATE:4000200030:22700|17300:200|100:r600f:Tc5d|JdJc:-200|200:Terrence_@tchanpoker|DeepStack 
STATE:4000200031:17500|22500:300|150:r750c/cr1700f:2cJc|Kc9d/Ah5cQd:-750|750:DeepStack|Terrence_@tchanpoker 
STATE:4000200032:23250|16750:300|150:r600r1800f:5dQs|5sJh:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000200033:16150|23850:300|150:f:8sQh|2sTc:150|-150:DeepStack|Terrence_@tchanpoker 
STATE:4000200034:23700|16300:300|150:f:5hAd|3d7s:150|-150:Terrence_@tchanpoker|DeepStack 
STATE:4000200035:16150|23850:300|150:r750c/cr1550f:2dTd|KsJh/Kc6c7d:-750|750:DeepStack|Terrence_@tchanpoker 
STATE:4000200036:24600|15400:300|150:r600f:8d2h|3sTs:-300|300:Terrence_@tchanpoker|DeepStack 
STATE:4000200037:15700|24300:300|150:r750c/cr1400c/cr3500c/cr6500f:4s4h|KcKs/Kh6d3h/7s/8d:-3500|3500:DeepStack|Terrence_@tchanpoker 
STATE:4000200038:27800|12200:300|150:r600c/cr1200r2200f:Qh4h|Ts6c/3dJdJh:1200|-1200:Terrence_@tchanpoker|DeepStack 
STATE:4000200039:11000|29000:300|150:r650f:4h8c|7cAh:-300|300:DeepStack|Terrence_@tchanpoker 
STATE:4000200040:29300|10700:300|150:r600c/cr1200c/cr2400c/cr10700c:KdTs|JcKc/5cKh7h/9h/Ks:-10700|10700:Terrence_@tchanpoker|DeepStack 
STATE:4000200041:21400|18600:400|200:r800c/cr1600f:Jh5h|8dKc/7s4hTc:-800|800:DeepStack|Terrence_@tchanpoker 
STATE:4000200042:19400|20600:400|200:r800r19400f:AsTh|5h4s:800|-800:Terrence_@tchanpoker|DeepStack 
STATE:4000200043:19800|20200:400|200:r800f:4h9s|JhKc:-400|400:DeepStack|Terrence_@tchanpoker 
STATE:4000200044:20600|19400:400|200:r800r2400c/cr4800f:Qc4d|Jd9d/Ts9h6s:-2400|2400:Terrence_@tchanpoker|DeepStack 
STATE:4000200045:21800|18200:400|200:r800c/cc/cc/r1600c:Qh7d|6d6s/Tc2sJs/9s/3s:-1600|1600:DeepStack|Terrence_@tchanpoker 
STATE:4000200046:19800|20200:400|200:r800c/cr1600f:7d9h|3cAs/6sQdQh:-800|800:Terrence_@tchanpoker|DeepStack 
STATE:4000200047:21000|19000:400|200:r800r2400r19000f:Qd8d|8sAd:-2400|2400:DeepStack|Terrence_@tchanpoker 
STATE:4000200048:21400|18600:400|200:r800c/cr1600f:2d5d|4d5c/8h7c8c:-800|800:Terrence_@tchanpoker|DeepStack 
STATE:4000200049:19400|20600:400|200:r800f:2d8h|TdKc:-400|400:DeepStack|Terrence_@tchanpoker 
STATE:4000200050:21000|19000:400|200:cc/cc/r800c/r1350f:6s4s|Kh5c/Ad2s8h/4h/4c:800|-800:Terrence_@tchanpoker|DeepStack 
STATE:4000200051:18200|21800:600|300:cr18200f:AdKs|ThQs:600|-600:DeepStack|Terrence_@tchanpoker 
STATE:4000200052:21200|18800:600|300:r1200r21200f:7hAc|4d6d:1200|-1200:Terrence_@tchanpoker|DeepStack 
STATE:4000200053:17600|22400:600|300:r1200f:3c9s|JdKc:-600|600:DeepStack|Terrence_@tchanpoker 
STATE:4000200054:23000|17000:600|300:r1200f:3s8c|6c5h:-600|600:Terrence_@tchanpoker|DeepStack 
STATE:4000200055:17600|22400:600|300:r1200f:2d6s|AsAd:-600|600:DeepStack|Terrence_@tchanpoker 
STATE:4000200056:23000|17000:600|300:r1200r23000f:QhKs|4h9h:1200|-1200:Terrence_@tchanpoker|DeepStack 
STATE:4000200057:15800|24200:600|300:cc/r1200c/cc/cc:4dJc|Js2c/5h2sAc/6h/As:-1200|1200:DeepStack|Terrence_@tchanpoker 
STATE:4000200058:25400|14600:600|300:cc/r1200f:4hQs|8cTd/6d6c2s:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000200059:14000|26000:600|300:f:9cQh|7h2s:300|-300:DeepStack|Terrence_@tchanpoker 
STATE:4000200060:25700|14300:600|300:cr1800f:QsQd|5d2c:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000200061:13700|26300:800|400:f:QhJd|6s3d:400|-400:DeepStack|Terrence_@tchanpoker 
STATE:4000200062:25900|14100:800|400:r1600r25900f:JhKd|5dQs:1600|-1600:Terrence_@tchanpoker|DeepStack 
STATE:4000200063:12500|27500:800|400:r1600c/cc/cr2800f:4dQc|2sKh/7s9d7d/Ks:-1600|1600:DeepStack|Terrence_@tchanpoker 
STATE:4000200064:29100|10900:800|400:cr29100c///:9cKd|4dAd/QhAc3c/3h/As:-10900|10900:Terrence_@tchanpoker|DeepStack 
STATE:4000200065:21800|18200:800|400:cc/cr1600c/cc/r4800f:Tc3h|Ks4s/TsTh4h/5h/Ac:1600|-1600:DeepStack|Terrence_@tchanpoker 
STATE:4000200066:16600|23400:800|400:cc/cc/cc/cr4000f:3h4d|5d2c/Qd5hQh/Qc/7d:-800|800:Terrence_@tchanpoker|DeepStack 
STATE:4000200067:24200|15800:800|400:r15800f:7s3h|Ad9h:-800|800:DeepStack|Terrence_@tchanpoker 
STATE:4000200068:16600|23400:800|400:r1600f:8h3c|8s8d:-800|800:Terrence_@tchanpoker|DeepStack 
STATE:4000200069:24200|15800:800|400:r15800f:7cJc|5sAh:-800|800:DeepStack|Terrence_@tchanpoker 
STATE:4000200070:16600|23400:800|400:r1600c/cc/r3800f:ThQd|5cTc/2d6dJh/Kc:1600|-1600:Terrence_@tchanpoker|DeepStack 
STATE:4000200071:21800|18200:1000|500:r2000c/cr3300c/cc/cr7500c:TsQs|7h8d/3dAdJd/5s/Th:7500|-7500:DeepStack|Terrence_@tchanpoker 
STATE:4000200072:10700|29300:1000|500:cr10700f:7sAd|Jd9c:1000|-1000:Terrence_@tchanpoker|DeepStack 
STATE:4000200073:28300|11700:1000|500:r11700f:3c7h|5sJs:-1000|1000:DeepStack|Terrence_@tchanpoker 
STATE:4000200074:12700|27300:1000|500:r12700f:Jd4h|Ah6c:-1000|1000:Terrence_@tchanpoker|DeepStack 
STATE:4000200075:28300|11700:1000|500:r11700c///:Ad3c|9sQc/JsAs8d/Qs/2h:11700|-11700:DeepStack|Terrence_@tchanpoker 
