STATE:4000000001:20000|20000:100|50:r250r750c/r1500c/r4500f:9cTc|4dAh/6h3c2d/8h:1500|-1500:DeepStack|Terrence_@tchanpoker 
STATE:4000000020:17588|22412:150|75:r300c/cr600c/cr1800f:7h7s|KsQd/As2h6c/Qh:-600|600:Terrence_@tchanpoker|DeepStack 
STATE:4000000021:23012|16988:200|100:r500c/cr700c/cc/r1400f:Qh6s|Ks4s/JdTdAd/5h/2h:700|-700:DeepStack|Terrence_@tchanpoker 
STATE:4000000022:16288|23712:200|100:f:6hQd|4c2s:100|-100:Terrence_@tchanpoker|DeepStack 
STATE:4000000023:23612|16388:200|100:r500r1500f:AhJs|8d2d:500|-500:DeepStack|Terrence_@tchanpoker 
STATE:4000000024:15888|24112:200|100:r400c/cc/cr800c/cc:7h9d|Td2d/3dTs9h/Qh/6c:-800|800:Terrence_@tchanpoker|DeepStack 
STATE:4000000025:24912|15088:200|100:r500c/cr1100c/cc/r2200c:9h6h|3sAs/7d5cAc/8d/3d:2200|-2200:DeepStack|Terrence_@tchanpoker 
STATE:4000000026:12888|27112:200|100:cc/cc/cc/cc:8c4c|3s3d/As7d5s/Ts/8h:200|-200:Terrence_@tchanpoker|DeepStack 
STATE:4000000027:26912|13088:200|100:r500r1500f:TdJs|4sTc:500|-500:DeepStack|Terrence_@tchanpoker 
STATE:4000000028:12588|27412:200|100:r600c/cc/cc/r1400f:9c7c|Tc6d/7sAs7d/2d/Ah:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000000029:26812|13188:200|100:r500f:9d3h|QhTh:-200|200:DeepStack|Terrence_@tchanpoker 
STATE:4000000030:13388|26612:200|100:r600c/cc/cc/r1200f:ThJh|7d5s/JdQcTc/Ah/4d:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000000031:26012|13988:300|150:r777c/cr1298r2595c/cc/r5190c:Kh5d|3hKc/2h4dKs/Qh/4c:0|0:DeepStack|Terrence_@tchanpoker 
STATE:4000000032:13988|26012:300|150:cr900c/r1700c/cc/cc:TdAc|7d8d/9sQd7c/Kc/9h:-1700|1700:Terrence_@tchanpoker|DeepStack 
STATE:4000000033:27712|12288:300|150:f:8hTs|3h8s:150|-150:DeepStack|Terrence_@tchanpoker 
STATE:4000000034:12138|27862:300|150:r600c/cc/r1067f:5cJc|Js3d/6h2cKh/6c:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000000035:27262|12738:300|150:f:2d8s|2cTh:150|-150:DeepStack|Terrence_@tchanpoker 
STATE:4000000036:12588|27412:300|150:cr900c/r1700c/cc/cc:Ts8s|4dQd/AsKdTd/4s/7h:1700|-1700:Terrence_@tchanpoker|DeepStack 
STATE:4000000037:25712|14288:300|150:r754f:2s7c|JcKs:-300|300:DeepStack|Terrence_@tchanpoker 
STATE:4000000038:14588|25412:300|150:cr900c/r1720c/cc/cc:Jc8s|3hKs/AhQsJd/3s/5s:1720|-1720:Terrence_@tchanpoker|DeepStack 
STATE:4000000039:23692|16308:300|150:f:7c5d|3c9h:150|-150:DeepStack|Terrence_@tchanpoker 
STATE:4000000040:16158|23842:300|150:r600r1800f:AsQs|Jc3d:600|-600:Terrence_@tchanpoker|DeepStack 
STATE:4000000041:23242|16758:400|200:r899c/cr1399c/cr2799f:KdTc|5c7d/Qc5s3h/7c:-1399|1399:DeepStack|Terrence_@tchanpoker 
STATE:4000000042:18157|21843:400|200:cr1200c/cr2400f:4hKh|7d8h/Jc5d6d:-1200|1200:Terrence_@tchanpoker|DeepStack 
STATE:4000000043:23043|16957:400|200:r800c/cr1600f:Ts3d|Tc2c/Ah6s4h:-800|800:DeepStack|Terrence_@tchanpoker 
STATE:4000000044:17757|22243:400|200:cr1200f:QcQd|3cTs:400|-400:Terrence_@tchanpoker|DeepStack 
STATE:4000000045:21843|18157:400|200:r800c/cc/cc/r1600f:3dJc|Ah8h/JdTdTs/Qd/Th:800|-800:DeepStack|Terrence_@tchanpoker 
STATE:4000000046:17357|22643:400|200:r800r2400f:Jd7s|6cTd:800|-800:Terrence_@tchanpoker|DeepStack 
STATE:4000000047:21843|18157:400|200:r800c/r1600c/r3200f:5hTd|9cQs/5s5d4h/3d:1600|-1600:DeepStack|Terrence_@tchanpoker 
STATE:4000000048:16557|23443:400|200:r800c/cc/r2000c/r4800c:Kh6h|Qc2c/QdJc9d/8d/3c:-4800|4800:Terrence_@tchanpoker|DeepStack 
STATE:4000000049:28243|11757:400|200:f:9hAh|9d3c:200|-200:DeepStack|Terrence_@tchanpoker 
STATE:4000000050:11557|28443:400|200:cr1200c/cc/cr2400c/cr7200f:5h5c|7h8h/9cQhJc/2c/6c:-2400|2400:Terrence_@tchanpoker|DeepStack 
STATE:4000000051:30843|9157:600|300:r9157c///:5c5s|Ah5h/Tc3c8d/Kc/4d:9157|-9157:DeepStack|Terrence_@tchanpoker 
